Temperature,Humidity,Wind_Speed,Solar_Radiation,Energy_Consumption
16.24,31.57,16.05,141.35,214.3
33.52,61.82,2.1,525.08,337.27
26.96,45.72,4.04,532.51,312.78
22.96,55.43,22.46,609.94,296.38
9.68,75.38,15.16,680.87,328.91
9.68,42.46,0.23,880.68,312.37
6.74,50.52,2.54,513.04,266.13
30.99,67.78,16.59,358.37,316.02
23.03,41.44,0.13,736.15,302.18
26.24,33.85,4.02,316.67,289.39
5.62,44.49,13.72,451.18,214.55
34.1,38.06,17.3,162.77,211.58
29.97,76.48,16.3,120.28,302.84
11.37,70.41,5.61,870.12,370.22
10.45,61.67,17.8,768.78,326.97
10.5,73.57,5.93,656.78,337.7
14.13,70.18,8.13,427.16,290.85
20.74,39.33,18.66,238.64,203.4
17.96,74.63,16.24,225.15,270.15
13.74,56.97,21.23,300.19,227.43
23.36,70.37,16.44,539.38,339.53
9.18,74.8,14.21,671.68,317.02
13.76,45.9,2.34,628.16,272.22
15.99,35.5,9.19,323.95,220.05
18.68,41.4,6.63,863.89,332.0
28.56,51.36,6.1,690.32,321.54
10.99,70.9,24.33,543.48,273.95
20.43,73.04,9.83,589.38,335.83
22.77,30.35,22.3,435.68,243.48
6.39,55.54,15.78,298.18,218.06
23.23,50.87,19.87,384.78,255.16
10.12,41.11,12.57,706.28,282.42
6.95,35.99,14.42,111.51,144.12
33.47,46.88,12.31,192.86,228.18
33.97,77.15,4.88,136.8,285.9
29.25,46.16,18.06,132.58,228.91
14.14,55.94,7.02,784.37,330.44
7.93,65.15,0.61,662.93,342.05
25.53,48.18,16.14,479.34,299.47
18.2,78.59,4.43,178.27,274.29
8.66,78.12,23.51,493.29,289.31
19.86,42.59,23.85,478.78,236.28
6.03,54.86,22.87,238.56,211.47
32.28,45.04,9.25,447.08,286.01
12.76,44.24,0.39,418.8,260.86
24.88,31.84,23.21,592.68,251.31
14.35,60.48,10.7,608.07,312.45
20.6,55.13,24.17,136.24,255.66
21.4,32.57,24.09,399.69,230.17
10.55,43.93,21.33,600.69,268.07
34.09,75.41,7.36,502.51,364.59
28.25,41.98,9.63,785.19,321.53
33.18,37.24,21.28,626.95,303.74
31.84,54.47,7.92,230.35,273.86
22.94,79.28,4.24,156.45,286.83
32.66,42.1,13.92,613.94,293.96
7.65,63.61,23.4,121.21,210.67
10.88,68.08,17.4,568.62,305.21
6.36,41.88,14.25,852.18,320.99
14.76,66.41,2.43,560.38,330.43
16.66,48.39,15.38,410.54,298.25
13.14,61.62,24.75,614.63,275.75
29.86,61.68,3.5,466.6,336.87
15.7,56.79,12.96,536.49,290.36
13.43,34.51,21.93,853.17,332.85
21.28,71.77,18.52,408.88,280.56
9.23,46.04,17.43,868.95,287.12
29.07,39.33,17.56,824.28,314.73
7.24,32.04,8.99,256.63,151.36
34.61,59.54,7.34,155.49,265.47
28.17,63.88,20.23,180.62,247.88
10.96,30.83,20.25,114.58,172.16
5.17,55.6,21.68,175.55,209.57
29.46,41.32,22.83,646.41,337.13
26.21,62.26,12.78,156.95,278.12
26.87,38.72,12.54,355.18,243.53
28.14,64.55,19.96,775.9,335.55
7.22,49.34,16.25,118.62,203.08
15.75,76.84,17.55,751.57,319.05
8.48,36.88,19.89,325.48,241.8
30.89,47.05,22.25,194.53,267.33
23.7,35.67,8.45,657.39,283.37
14.93,76.23,9.39,603.15,292.9
6.91,73.87,2.35,801.98,370.11
14.33,42.9,14.46,688.06,282.36
14.76,63.0,0.9,742.78,359.46
26.89,70.86,11.64,325.63,267.71
24.13,57.76,13.57,241.95,248.35
31.62,56.48,7.16,700.49,347.4
19.17,42.09,14.77,745.47,302.41
8.59,34.66,0.76,892.4,293.41
26.4,74.86,0.93,430.09,341.31
27.82,75.02,20.57,397.61,290.02
21.84,61.66,9.0,721.13,334.28
28.13,46.95,3.18,372.64,282.45
19.81,47.46,13.06,844.61,337.35
20.68,66.3,19.25,786.73,357.65
17.83,74.86,5.4,443.2,287.61
5.76,74.35,15.57,700.7,285.02
8.24,68.99,2.13,703.63,349.36
