Day,Opening_Price,High_Price,Low_Price,Volume,Closing_Price
1,102.48,109.84,100.45,476836,104.19
2,99.65,104.88,96.68,187235,100.09
3,103.91,110.76,98.62,297484,107.43
4,108.63,116.0,102.48,289407,110.22
5,100.18,104.09,94.27,311810,102.42
6,100.51,103.18,97.17,303687,105.94
7,109.92,113.29,103.65,173523,110.6
8,106.2,110.76,102.77,336175,105.38
9,100.35,107.26,96.4,194476,101.69
10,105.75,112.91,99.27,333841,109.16
11,101.05,103.1,95.16,379163,102.56
12,101.38,106.44,94.28,445757,104.56
13,105.25,109.76,99.31,322866,103.25
14,94.82,98.15,89.41,186672,92.21
15,96.09,98.81,93.53,173847,94.46
16,102.24,106.27,98.04,444894,98.44
17,100.33,107.99,96.74,310706,100.66
18,107.3,111.24,103.84,128251,106.01
19,101.53,106.64,93.69,203481,105.22
20,99.34,105.56,94.98,474710,95.47
21,114.07,118.25,106.72,125945,118.73
22,105.95,113.78,100.16,452996,103.01
23,107.75,115.53,100.98,132217,104.04
24,100.63,104.14,95.61,108308,98.16
25,105.37,110.35,99.91,368093,111.22
26,108.98,112.79,104.03,283062,108.86
27,103.01,106.72,99.84,494366,104.6
28,110.98,113.2,104.64,320552,110.43
29,106.44,112.09,102.75,200235,106.16
30,108.32,113.33,106.17,174740,106.8
31,107.1,109.41,101.23,478496,107.26
32,119.71,123.38,116.65,428761,121.19
33,110.72,118.17,103.08,325913,115.75
34,105.84,109.27,98.11,379040,100.21
35,115.57,118.44,108.08,492942,120.41
36,105.69,110.63,101.47,277247,107.28
37,113.18,121.09,111.09,238877,112.08
38,102.67,106.13,95.1,105237,101.03
39,106.17,112.2,101.6,120056,109.3
40,114.13,120.7,106.33,276615,114.82
41,117.18,120.6,109.39,287628,112.57
42,114.68,121.05,107.56,214548,115.77
43,113.58,117.79,109.81,473632,117.01
44,112.99,118.78,108.68,234415,115.56
45,107.44,113.24,100.33,129375,105.56
46,111.57,116.78,107.67,240734,107.54
47,113.2,115.74,110.19,116964,112.22
48,121.13,128.14,115.79,213429,130.89
49,117.9,121.82,110.28,352764,113.26
50,107.7,110.82,101.53,290710,105.17
51,118.47,120.72,113.05,316139,119.65
52,115.27,120.81,112.68,167215,114.89
53,114.14,120.21,108.45,431186,113.54
54,120.92,123.02,112.98,244356,127.0
55,123.36,128.43,120.52,303861,120.8
56,123.2,126.55,118.09,455612,123.15
57,114.68,120.55,107.42,109435,115.29
58,117.67,120.71,111.22,275150,115.25
59,121.21,127.35,115.02,440976,116.88
60,124.77,129.09,118.55,151293,125.57
61,117.83,125.45,113.67,178781,123.27
62,119.63,122.46,115.87,291475,120.85
63,115.37,119.41,108.51,260196,115.64
64,115.25,117.94,108.39,326507,115.5
65,125.64,133.18,118.43,406063,124.86
66,128.69,135.96,121.21,339833,132.24
67,121.89,125.43,116.82,352377,120.37
68,127.6,133.56,122.59,266319,123.53
69,124.73,131.63,117.94,221172,119.98
70,120.03,125.36,114.13,456902,120.27
71,125.4,130.58,119.19,418717,128.58
72,131.62,135.07,124.85,159101,132.34
73,124.09,126.65,116.75,388790,123.14
74,132.43,139.81,128.4,466329,133.81
75,111.85,119.25,107.59,123049,112.4
76,129.39,135.19,126.83,310677,131.87
77,126.05,130.09,120.58,460260,130.03
78,124.46,128.56,122.24,459523,121.6
79,126.75,133.11,121.96,168385,119.73
80,116.69,124.07,111.44,226131,115.64
81,125.87,133.19,122.15,296489,122.81
82,129.09,135.77,123.54,123289,131.58
83,135.03,140.88,132.85,472370,132.86
84,125.39,127.89,123.16,462937,119.76
85,124.27,127.24,117.34,371967,122.55
86,126.14,133.53,121.98,291232,121.67
87,133.57,139.2,130.8,404119,138.34
88,130.97,133.02,125.84,109540,132.38
89,127.01,129.62,120.39,116364,128.96
90,132.57,138.55,129.27,497827,134.17
